Rank,Alphagram,Word(s),Removed Anagrams,Length,# Most Frequent in Round,Usefulness Score,Best Single Word,Takes,Valid before 2015?
200,ADEEOPT,ADOPTEE,-,7,1904,13328,ADOPTEE,s,Y
201,AENNORT,NORTENA,-,7,1898,13286,NORTENA,,Y
202,EGIORST,GOITRES/GORIEST,-,7,1891,13237,GOITRES,,Y
203,ADEIMNOST,DOMINATES/STAMINODE,ADEMONIST/DEMONIAST,9,735,13230,DOMINATES,,Y
204,ADEINPT,PAINTED,PATINED,7,1890,13230,PAINTED,,Y
205,AEEOPRST,OPERATES/PROTEASE,-,8,1653,13224,PROTEASE,s,Y
206,AELNRSTU,NEUTRALS,-,8,1649,13192,NEUTRALS,,Y
207,AENORRS,SERRANO,-,7,1883,13181,SERRANO,s,N
208,AEGIMPS,MAGPIES,-,7,1880,13160,MAGPIES,,Y
209,AIOPSTU,UTOPIAS,-,7,1873,13111,UTOPIAS,,N
210,ADEFORS,FEDORAS,-,7,1872,13104,FEDORAS,,Y
211,ADEEINST,ANDESITE,-,8,1630,13040,ANDESITE,,Y
212,ADENOPRT,PRONATED,-,8,1629,13032,PRONATED,,Y
213,AEEILNRT,TREENAIL,-,8,1619,12952,TREENAIL,s,Y
214,AEINOPRT,ATROPINE,-,8,1618,12944,ATROPINE,,Y
215,AADEINS,NAIADES,-,7,1849,12943,NAIADES,,Y
216,AEEIMRST,EMIRATES/STEAMIER,MATIERES,8,1617,12936,EMIRATES,,Y
217,AEMNOP,MOPANE,-,6,2154,12924,MOPANE,s,Y
218,ADEIRRT,TARDIER/TARRIED,-,7,1845,12915,TARRIED,,Y
219,AEGLNOT,TANGELO,ANGELOT,7,1840,12880,TANGELO,s,Y
220,AEEGNOP,PEONAGE,-,7,1839,12873,PEONAGE,s,Y
221,AEEIPRT,PEATIER,-,7,1835,12845,PEATIER,,Y
222,AENOPSW,WEAPONS,-,7,1834,12838,WEAPONS,,Y
223,DELOSTU,LOUDEST/TOUSLED,-,7,1832,12824,TOUSLED,,Y
224,ADGIOU,DAIGOU,-,6,2137,12822,DAIGOU,s,N
225,AHIORT,THORIA,-,6,2131,12786,THORIA,,Y
226,ADEGINOS,AGONISED/DIAGNOSE,-,8,1592,12736,DIAGNOSE,ds,Y
227,ADELOSW,WALDOES,-,7,1819,12733,WALDOES,,Y
228,ADEENORST,RESONATED,-,9,706,12708,RESONATED,,Y
229,ACEEOST,COATEES,ACETOSE,7,1814,12698,COATEES,,N
230,EINOPSTU,POUTINES,-,8,1586,12688,POUTINES,,N
231,AIMNOTU,MANITOU/TINAMOU,-,7,1809,12663,MANITOU,s,Y
232,ADEEINRST,DENTARIES/DETAINERS/RESINATED,RESTAINED,9,703,12654,DETAINERS,,Y
233,AEFIMOR,FOAMIER,-,7,1805,12635,FOAMIER,,Y
234,EINORSW,SNOWIER,-,7,1802,12614,SNOWIER,,Y
235,EENOTW,TOWNEE,-,6,2098,12588,TOWNEE,s,Y
236,AEEIMNS,MEANIES/NEMESIA,-,7,1794,12558,NEMESIA,s,Y
237,EINOPRSU,PRUINOSE,-,8,1563,12504,PRUINOSE,,Y
238,EEINOPR,PIONEER,PEREION,7,1781,12467,PIONEER,s,Y
239,AEFNSU,UNSAFE,-,6,2070,12420,UNSAFE,,Y
240,ADEINOPRT,PREDATION,-,9,689,12402,PREDATION,,Y
241,ADIMRU,RADIUM,MARUDI,6,2064,12384,RADIUM,,Y
242,DEFIOT,FOETID,-,6,2061,12366,FOETID,,Y
243,AADIRSU,SUDARIA,-,7,1760,12320,SUDARIA,,Y
244,AEGMOS,OMEGAS,-,6,2050,12300,OMEGAS,,Y
245,ADEIMNORS,RANDOMISE/ROMANISED,MASONRIED,9,682,12276,ROMANISED,,Y
246,AAEIRST,ATRESIA,-,7,1753,12271,ATRESIA,,Y
247,AEIORSTT,TOASTIER,ASTROITE,8,1532,12256,TOASTIER,,Y
248,ACEIRSTU,SURICATE,-,8,1529,12232,SURICATE,s,Y
249,AEIIMNT,INTIMAE,MINIATE,7,1743,12201,INTIMAE,,Y
250,ACEENOT,ACETONE,-,7,1736,12152,ACETONE,,Y
251,AENOPRT,OPERANT/PRONATE/PROTEAN,TROPANE,7,1736,12152,PRONATE,ds,Y
252,EGILNOT,LENTIGO,-,7,1736,12152,LENTIGO,,Y
253,ADENRSTU,TRANSUDE,-,8,1517,12136,TRANSUDE,ds,Y
254,AELNOORS,ARENOSOL,-,8,1516,12128,ARENOSOL,s,N
255,ADEGINORS,GRANDIOSE/ORGANDIES/ORGANISED,-,9,673,12114,ORGANISED,,Y
256,ADEMOPS,POMADES,-,7,1729,12103,POMADES,,Y
257,EEOPSTU,TOUPEES,-,7,1728,12096,TOUPEES,,Y
258,ADEINOPST,ANTIPODES,ANTIPOSED,9,670,12060,ANTIPODES,,Y
259,ADEEIRST,READIEST/SERIATED/STEADIER,SIDERATE,8,1505,12040,STEADIER,s,Y
260,EILMOT,MOTILE,-,6,2006,12036,MOTILE,,Y
261,AENOSTT,NOTATES,-,7,1717,12019,NOTATES,,Y
262,AAILOST,SOLATIA,-,7,1715,12005,SOLATIA,,Y
263,AEGNORST,NEGATORS/RAGSTONE,-,8,1497,11976,NEGATORS,,Y
264,ADEINP,PAINED,-,6,1995,11970,PAINED,,Y
265,AEGIRSW,EARWIGS,-,7,1708,11956,EARWIGS,,Y
266,ADEGORTU,OUTRAGED,-,8,1494,11952,OUTRAGED,,Y
267,AEGILNOR,GERANIOL/REGIONAL,-,8,1494,11952,REGIONAL,s,Y
268,AELORRT,REALTOR/RELATOR,-,7,1703,11921,REALTOR,s,Y
269,EIOOPRT,TROOPIE,-,7,1694,11858,TROOPIE,s,Y
270,EEINOPS,PEONIES,-,7,1692,11844,PEONIES,,Y
271,ADEIINRT,DAINTIER,-,8,1477,11816,DAINTIER,,Y
272,AEILNRTU,TENURIAL,RETINULA,8,1477,11816,TENURIAL,,Y
273,AELMORTU,EMULATOR,-,8,1477,11816,EMULATOR,s,Y
274,ACDEIORS,IDOCRASE,-,8,1471,11768,IDOCRASE,,Y
275,ADEGNSU,AUGENDS,-,7,1674,11718,AUGENDS,,N
276,AAEFST,ESTAFA,-,6,1949,11694,ESTAFA,,N
277,ADEORTT,ROTATED,-,7,1668,11676,ROTATED,,Y
278,DEILOPU,EUPLOID,-,7,1668,11676,EUPLOID,y,Y
279,ADEMNOTU,AMOUNTED,-,8,1459,11672,AMOUNTED,,Y
280,ACIORSU,CARIOUS/CURIOSA,ACOURIS/ACRIOUS,7,1666,11662,CURIOSA,,Y
281,AELMNOR,ALMONER,NEMORAL,7,1663,11641,ALMONER,s,Y
282,EIILOST,OILIEST,-,7,1662,11634,OILIEST,,Y
283,ADELNORU,EUROLAND/UNLOADER,-,8,1448,11584,UNLOADER,s,Y
284,AEGOTW,TOWAGE,-,6,1929,11574,TOWAGE,s,Y
285,AENORSS,REASONS,ORANSES,7,1647,11529,REASONS,,Y
286,EGNOOST,GENTOOS,-,7,1647,11529,GENTOOS,,Y
287,DEINPSU,UNIPEDS,-,7,1646,11522,UNIPEDS,,Y
288,AEGINSTU,SAUTEING,UNITAGES,8,1435,11480,SAUTEING,,Y
289,DEINOPT,POINTED,-,7,1635,11445,POINTED,,Y
290,AEENPR,PANEER,-,6,1905,11430,PANEER,,Y
291,EILMNO,MOLINE/OILMEN,-,6,1903,11418,MOLINE,,Y
292,ADEIPRSU,UPRAISED,-,8,1425,11400,UPRAISED,,Y
293,AEINORTT,TENTORIA,-,8,1423,11384,TENTORIA,,Y
294,AEORSTUW,OUTWEARS,OUTSWEAR,8,1419,11352,OUTWEARS,,Y
295,EGMORTU,GOURMET,-,7,1621,11347,GOURMET,s,Y
296,AEILOPRST,EPILATORS,EPISTOLAR/PELOTARIS/POSTERIAL,9,628,11304,EPILATORS,,Y
297,AEILNSW,INWALES,-,7,1613,11291,INWALES,,Y
298,AADELRU,RADULAE,-,7,1609,11263,RADULAE,,Y
299,DEGIOPR,PODGIER,-,7,1609,11263,PODGIER,,Y
300,AENOPS,PAEONS,POENAS,6,1871,11226,PAEONS,,Y
301,AEGIPRST,GRAPIEST,-,8,1402,11216,GRAPIEST,,N
302,ADISTU,AUDITS,ADITUS,6,1867,11202,AUDITS,,Y
303,DEEINORST,DESERTION,-,9,622,11196,DESERTION,,Y
304,BEINORT,BORNITE,ROBINET,7,1599,11193,BORNITE,,Y
305,AFINORS,INSOFAR,-,7,1597,11179,INSOFAR,,Y
306,ADEEMORT,MODERATE,-,8,1397,11176,MODERATE,ds,Y
307,ADEORT,ORATED,-,6,1860,11160,ORATED,,Y
308,AADGIOS,ADAGIOS,-,7,1592,11144,ADAGIOS,,Y
309,AEILMORS,MORALISE,-,8,1390,11120,MORALISE,drs,Y
310,ADEGLOT,GLOATED,-,7,1585,11095,GLOATED,,Y
311,AEEILNRST,TREENAILS,ANTLERIES/RESALIENT,9,616,11088,TREENAILS,,Y
312,AACEORS,ROSACEA,-,7,1582,11074,ROSACEA,,Y
313,AELOPST,APOSTLE/PELOTAS,-,7,1579,11053,APOSTLE,s,Y
314,DEGNOTU,TONGUED,-,7,1578,11046,TONGUED,,Y
315,ADEISTW,WAISTED,-,7,1577,11039,WAISTED,,Y
316,ADEILO,EIDOLA,AEOLID,6,1833,10998,EIDOLA,,Y
317,ADEELNOR,OLEANDER,RELOANED,8,1373,10984,OLEANDER,s,Y
318,AEINORRST,SERRATION,-,9,610,10980,SERRATION,,Y
